ply,fullmove,side,clock_in_ms,budget_ms,used_ms,clock_out_ms,depth,nodes,fen
48,33,b,54073.3,2833.3,1565.4,52507.8,12,4404726,3r2k1/6p1/p3p2p/8/3br3/P3N1P1/P3R2P/4R1K1 b - - 0 33
49,34,w,52113.4,2745.1,2334.2,49779.3,12,6400012,3r2k1/6p1/p3p2p/2b5/4r3/P3N1P1/P3R2P/4R1K1 w - - 1 34
50,34,b,53007.8,2785.4,2075.8,50932.0,11,5604493,3r2k1/6p1/p3p2p/2b5/4r3/P3N1P1/P3RK1P/4R3 b - - 2 34
51,35,w,50279.3,2662.6,1488.0,48791.3,11,3918935,6k1/6p1/p3p2p/2b5/4r3/P2rN1P1/P3RK1P/4R3 w - - 3 35
52,35,b,51432.0,2714.4,2307.9,49124.1,11,6293508,6k1/6p1/p3p2p/2b5/P3r3/3rN1P1/P3RK1P/4R3 b - - 0 35
53,36,w,49291.3,2618.1,2226.1,47065.2,12,5907717,6k1/6p1/p3p2p/2b5/r7/3rN1P1/P3RK1P/4R3 w - - 0 36
54,36,b,49624.1,2633.1,2238.6,47385.5,12,6190851,6k1/6p1/p3p2p/2b5/r7/3rN1P1/P3R2P/4RK2 b - - 1 36
55,37,w,47565.2,2540.4,1584.2,45981.0,12,4213023,6k1/6p1/p3p2p/2b5/r7/r3N1P1/P3R2P/4RK2 w - - 2 37
56,37,b,47885.5,2554.8,2172.2,45713.4,12,5920256,6k1/6p1/p3p2p/2b5/r7/r5P1/P3R2P/3NRK2 b - - 3 37
57,38,w,46481.0,2491.6,2118.7,44362.3,13,5485829,6k1/6p1/p3p2p/2b5/r7/6P1/r3R2P/3NRK2 w - - 0 38
58,38,b,46213.4,2479.6,2108.2,44105.2,14,5718277,6k1/6p1/p3p2p/2b5/r7/6P1/R6P/3NRK2 b - - 0 38
59,39,w,44862.3,2418.8,2056.7,42805.6,14,5462019,6k1/6p1/p3p2p/2b5/8/6P1/r6P/3NRK2 w - - 0 39
60,39,b,44605.2,2407.2,1937.2,42668.0,12,5047617,6k1/6p1/p3R2p/2b5/8/6P1/r6P/3N1K2 b - - 0 39
61,40,w,43305.6,2348.8,1997.3,41308.3,12,5298176,6k1/6p1/4R2p/p1b5/8/6P1/r6P/3N1K2 w - - 0 40
62,40,b,43168.0,2342.6,1191.7,41976.3,12,3099848,6k1/6p1/7p/p1b1R3/8/6P1/r6P/3N1K2 b - - 1 40
63,41,w,41808.3,2281.4,1939.8,39868.6,13,5077248,6k1/6p1/7p/p3R3/3b4/6P1/r6P/3N1K2 w - - 2 41
64,41,b,42476.3,2311.4,1965.2,40511.1,14,5316880,6k1/6p1/7p/p2R4/3b4/6P1/r6P/3N1K2 b - - 3 41
65,42,w,40368.6,2216.6,1399.0,38969.5,13,3648785,6k1/6p1/5b1p/p2R4/8/6P1/r6P/3N1K2 w - - 4 42
66,42,b,41011.1,2245.5,1909.3,39101.8,13,4874243,6k1/6p1/5b1p/p2R4/8/4N1P1/r6P/5K2 b - - 5 42
67,43,w,39469.5,2176.1,1850.6,37619.0,13,4573966,6k1/6p1/5b1p/3R4/p7/4N1P1/r6P/5K2 w - - 0 43
68,43,b,39601.8,2182.1,1855.3,37746.5,12,4728073,6k1/6p1/5b1p/R7/p7/4N1P1/r6P/5K2 b - - 1 43
69,44,w,38119.0,2115.4,1798.8,36320.1,11,4317702,6k1/6p1/5b1p/R7/8/p3N1P1/r6P/5K2 w - - 0 44
70,44,b,38246.5,2121.1,1803.4,36443.1,12,4583168,6k1/6p1/5b1p/8/R7/p3N1P1/r6P/5K2 b - - 1 44
71,45,w,36820.1,2056.9,1748.8,35071.3,12,4319244,6k1/4b1p1/7p/8/R7/p3N1P1/r6P/5K2 w - - 2 45
72,45,b,36943.1,2062.4,1753.5,35189.6,14,4500483,R5k1/4b1p1/7p/8/8/p3N1P1/r6P/5K2 b - - 3 45
73,46,w,35571.3,2000.7,1701.0,33870.3,14,4482823,R7/4b1pk/7p/8/8/p3N1P1/r6P/5K2 w - - 4 46
74,46,b,35689.6,2006.0,1705.8,33983.8,14,4599552,R7/4b1pk/7p/8/2N5/p5P1/r6P/5K2 b - - 5 46
75,47,w,34370.3,1946.7,1097.6,33272.7,14,2916737,R7/4b1pk/7p/8/2N5/p5P1/7r/5K2 w - - 0 47
76,47,b,34483.8,1951.8,1659.6,32824.3,15,4819465,8/4b1pk/7p/8/2N5/R5P1/7r/5K2 b - - 0 47
77,48,w,33772.7,1919.8,1109.5,32663.1,16,3137362,8/6pk/7p/8/2N5/b5P1/7r/5K2 w - - 0 48
78,48,b,33324.3,1899.6,1615.1,31709.2,17,4692227,8/6pk/7p/8/8/N5P1/7r/5K2 b - - 0 48
79,49,w,33163.1,1892.3,1121.6,32041.5,17,3067930,8/6p1/6kp/8/8/N5P1/7r/5K2 w - - 1 49
