ply,depth,nodes,ebf,occupancy_pct,sec,fen
1760,10,1033712,3.9943,99.9986,0.399,r3r3/2p5/b2p2k1/p2P1ppp/1p6/Pn2BBPP/1P2PPK1/3RR3 w - - 0 29
1765,10,776914,3.8818,99.9986,0.299,r3r3/2p5/3p2k1/p2P1p1p/1pb3p1/Pn2B1PP/1P2PPB1/3RR2K b - - 3 31
1770,10,752511,3.8695,99.9986,0.292,4r3/2p5/3p2k1/p2Pr2p/1pb3p1/Pn2B1P1/1P2PPB1/3RR1K1 w - - 2 34
1775,10,713092,3.8487,99.9986,0.264,4r3/2p4k/3p4/p2Pr2p/1pb3p1/Pn2B1P1/1P2PPB1/3RRK2 b - - 7 36
1780,10,371410,3.6057,99.9987,0.148,4r3/B1p5/3p2k1/p2Pr2p/1Pb3p1/1n4P1/1P2PPB1/3RRK2 w - - 1 39
1785,10,549487,3.7497,99.9987,0.202,1r6/2p5/3p2k1/3Pr2p/1pbB2p1/1n4P1/1P2PP2/3RRK1B b - - 3 41
1790,10,286352,3.5131,99.9987,0.116,r3r3/2p2k2/3p4/3P3p/1pb3p1/1n2B1P1/1P2PP2/3RR1KB w - - 8 44
1795,10,387109,3.6206,99.9987,0.145,8/2p2k2/3p4/3Pr2p/1pb3p1/1n2B1P1/rP2PPBK/1R2R3 b - - 13 46
1800,10,255704,3.4736,99.9987,0.1,8/2p5/3p2k1/3Pr2p/1pb3p1/1n2B1P1/2r1PPBK/1R2R3 w - - 2 49
1805,10,492087,3.7086,99.9987,0.198,4r3/2p5/3p2k1/3P3p/1pb3p1/1n2B1P1/2r1PPB1/1R2R1K1 b - - 7 51
1810,10,1975,2.1358,99.9987,0.002,4r3/2p2k2/3p4/3P3p/1pb3p1/1n2B1P1/2r1PPB1/1R2R1K1 w - - 12 54
1815,10,893325,3.9364,99.9988,0.382,r1b2rk1/pp1nqppp/2pbpn2/3p4/2PP4/1PN1PN2/PB2BPPP/R2Q1RK1 b - - 2 9
1820,10,2133637,4.2945,99.9988,0.896,r4rk1/1b1nqppp/1ppbpn2/p2p4/P1PP4/1PN1PN2/1BQ1BPPP/R4RK1 w - - 2 12
1825,10,1287003,4.0828,99.9989,0.528,r2r2k1/1b1nqppp/1ppbpn2/p7/P1PP4/2NBPN2/1BQ2PPP/4RRK1 b - - 0 14
1830,10,491630,3.7082,99.9989,0.185,r2r2k1/3nqpp1/1p1bpn1p/pNp5/P1PP4/3BPb1P/1BQ2PP1/4RRK1 w - - 0 17
1835,10,442119,3.6691,99.9989,0.177,r2r2k1/3nqpp1/1p1Np2p/p6n/P1PP4/3B1P1P/1BQ2P2/4RRK1 b - - 0 19
